price_range;Brand;Model;RAM;Storage;Color
médio;Samsung;Galaxy M13;4;128;Green
baixo;Samsung;Galaxy A14;4;128;Black
baixo;Apple;iPhone 8;2;64;Gray
médio;OPPO;Reno8;8;128;Rainbow
baixo;TCL;408;4;64;Gray
médio;Samsung;Galaxy A34;6;128;Black
alto;Apple;iPhone 12;4;128;Blue
baixo;TCL;403;2;32;Purple
médio;Samsung;Galaxy A14;4;128;Black
médio;Xiaomi;Note 12S;6;128;Black
alto;Apple;iPhone 12;4;128;White
muito alto;Samsung;Galaxy S22;12;256;White
muito alto;Apple;iPhone 13;4;256;White
médio;Xiaomi;Redmi Note 12;6;128;Gray
alto;Motorola;Edge 30;8;128;Black
muito alto;Apple;iPhone 13;4;512;Red
médio;OPPO;A74;6;128;Black
médio;Google;Pixel 6A;6;128;Black
baixo;ZTE;Blade A72;3;64;Blue
muito alto;Apple;iPhone 13;4;128;Blue
muito alto;OPPO;X5;8;256;Black
baixo;OPPO;A57s;4;128;Black
médio;Realme;GT Neo 3T;8;128;Black
médio;Samsung;Galaxy A14;4;128;Silver
médio;Apple;iPhone 11;4;128;Black
médio;Apple;iPhone 11;4;128;Red
médio;Xiaomi;Redmi Note 12;6;128;White
médio;Realme;Narzo 50;4;128;Black
baixo;OPPO;A17;4;64;Blue
médio;Apple;iPhone XR;3;128;Black
médio;Samsung;Galaxy M13;4;128;Blue
baixo;Xiaomi;Redmi 12;4;128;Silver
alto;Google;Pixel 7;8;128;Green
alto;Apple;iPhone 13;4;128;Red
baixo;Xiaomi;Redmi 9AT;2;32;Green
alto;Motorola;Edge 40;8;256;Pink
muito alto;Apple;iPhone 14;6;128;Silver
alto;Samsung;Galaxy S23;6;128;Green
alto;Xiaomi;Shark 5;8;128;White
médio;Motorola;Moto G23;8;128;White
baixo;Samsung;Galaxy A14;4;128;Green
alto;Apple;iPhone SE;3;128;White
médio;POCO;X5;6;128;Green
muito alto;Samsung;Galaxy S23;6;256;Purple
baixo;Samsung;Galaxy A14;4;128;Silver
alto;Apple;iPhone 12;4;128;Red
alto;POCO;F5;12;256;Black
alto;Samsung;Galaxy S23;6;128;White
baixo;Realme;Narzo 50i;3;32;Green
muito alto;Apple;iPhone 14;6;512;Red
muito alto;Motorola;Razr 40;8;256;Gold
baixo;OPPO;A78;4;128;Black
baixo;TCL;305i;2;64;Blue
baixo;TCL;40 SE;4;128;Purple
baixo;TCL;408;4;64;Blue
médio;POCO;F4;6;128;Black
muito alto;Samsung;Galaxy S23;6;512;Purple
baixo;Xiaomi;Redmi Note 11;6;128;Blue
médio;Xiaomi;Redmi Note 12;6;128;Green
muito alto;Apple;iPhone 12;4;256;Blue
baixo;TCL;40 SE;4;128;Gray
alto;OPPO;Reno10;12;256;Purple
médio;Samsung;Galaxy A23;4;128;Blue
alto;Apple;iPhone 12;4;128;Green
muito alto;Apple;iPhone 12;4;256;Red
alto;OPPO;Reno10;12;256;Gray
muito alto;OPPO;X5 Pro;12;256;White
baixo;ZTE;Blade V40 Vita;4;128;Black
médio;Samsung;Galaxy S20;6;128;Blue
alto;Apple;iPhone 12;4;64;Blue
baixo;Xiaomi;Redmi A2;2;32;Green
baixo;Samsung;Galaxy A04s;3;32;Black
baixo;TCL;405;2;32;Blue
alto;Apple;iPhone 12;4;256;Black
médio;Samsung;Galaxy A52s;6;128;Black
muito alto;Apple;iPhone 13;4;512;Green
muito alto;Samsung;Galaxy S22;12;256;Black
médio;POCO;X5;6;128;Blue
alto;Apple;iPhone 12;4;128;Purple
médio;OPPO;A57s;4;128;Black
alto;Apple;iPhone 12;4;128;Silver
baixo;Xiaomi;Redmi 10C;3;64;Gray
baixo;POCO;M5;4;64;Yellow
alto;Apple;iPhone 12;4;128;Gold
muito alto;Apple;iPhone 14;6;128;Yellow
baixo;Xiaomi;Redmi 10;4;128;Gray
alto;Xiaomi;12T;12;256;Blue
alto;Apple;iPhone 12;4;64;Green
alto;Samsung;Galaxy S22;12;256;Green
alto;Samsung;Galaxy S22;8;128;Black
muito alto;Apple;iPhone 13;4;256;Black
alto;Realme;GT2;8;128;Black
muito alto;Samsung;Galaxy Z Fold4;12;256;Black
médio;Xiaomi;Redmi Note 11S;6;128;Blue
muito alto;Xiaomi;12;12;256;Blue
médio;POCO;M5;4;128;Green
muito alto;Samsung;Galaxy S23;6;128;Black
alto;Apple;iPhone 13;4;128;Green
baixo;ZTE;Blade V40 Vita;4;128;Green
alto;Samsung;Galaxy S21;6;128;Black
baixo;TCL;30 SE;4;128;Blue
médio;Xiaomi;Note 12S;6;128;Green
médio;Xiaomi;Redmi Note 10;6;128;Blue
muito alto;Apple;iPhone 13;4;128;Gold
baixo;TCL;30;4;64;Black
baixo;TCL;305i;2;64;Black
médio;POCO;M5s;4;128;White
baixo;Xiaomi;Redmi 9A;2;32;Green
alto;Samsung;Galaxy S20;6;128;Blue
alto;Samsung;Galaxy S22;8;128;Red
baixo;Xiaomi;Redmi 10A;3;64;Blue
baixo;POCO;C40;3;32;Green
alto;Samsung;Galaxy Note 20;12;256;Bronze
baixo;Xiaomi;Redmi 12C;3;64;Blue
baixo;Xiaomi;Redmi Go;6;16;Black
baixo;Ulefone;Armor X10;4;64;Black
baixo;TCL;30;4;64;Blue
